,RM,LSTAT,PTRATIO,cluster_ids
0,6.575,4.98,15.3,1
1,6.421,9.14,17.8,3
2,7.185,4.03,17.8,1
3,6.997999999999999,2.94,18.7,1
4,7.147,5.33,18.7,1
5,6.43,5.21,18.7,1
6,6.0120000000000005,12.43,15.2,2
7,6.172000000000001,19.15,15.2,2
8,5.631,29.93,15.2,2
9,6.004,17.1,15.2,2
10,6.377000000000001,20.45,15.2,2
11,6.0089999999999995,13.27,15.2,2
12,5.888999999999999,15.71,15.2,2
13,5.949,8.26,21.0,3
14,6.096,10.26,21.0,3
15,5.834,8.47,21.0,3
16,5.935,6.58,21.0,3
17,5.99,14.67,21.0,2
18,5.456,11.69,21.0,3
19,5.727,11.28,21.0,3
20,5.57,21.02,21.0,2
21,5.965,13.83,21.0,2
22,6.142,18.72,21.0,2
23,5.813,19.88,21.0,2
24,5.9239999999999995,16.3,21.0,2
25,5.599,16.51,21.0,2
26,5.813,14.81,21.0,2
27,6.047000000000001,17.28,21.0,2
28,6.495,12.8,21.0,2
29,6.6739999999999995,11.98,21.0,2
30,5.712999999999999,22.6,21.0,2
31,6.072,13.04,21.0,2
32,5.95,27.71,21.0,2
33,5.7010000000000005,18.35,21.0,2
34,6.096,20.34,21.0,2
35,5.933,9.68,19.2,3
36,5.841,11.41,19.2,3
37,5.85,8.77,19.2,3
38,5.966,10.13,19.2,3
39,6.595,4.32,18.3,1
40,7.024,1.98,18.3,1
41,6.77,4.84,17.9,1
42,6.169,5.81,17.9,1
43,6.211,7.44,17.9,3
44,6.069,9.55,17.9,3
45,5.682,10.21,17.9,3
46,5.7860000000000005,14.15,17.9,2
47,6.03,18.8,17.9,2
48,5.399,30.81,17.9,2
49,5.602,16.2,17.9,2
50,5.962999999999999,13.45,16.8,2
51,6.115,9.43,16.8,3
52,6.511,5.28,16.8,1
53,5.997999999999999,8.43,16.8,3
54,5.888,14.8,21.1,2
55,7.249,4.81,17.9,1
56,6.382999999999999,5.77,17.3,1
57,6.816,3.95,15.1,1
58,6.145,6.86,19.7,3
59,5.9270000000000005,9.22,19.7,3
60,5.7410000000000005,13.15,19.7,2
61,5.966,14.44,19.7,2
62,6.456,6.73,19.7,3
63,6.7620000000000005,9.5,19.7,3
64,7.104,8.05,18.6,3
65,6.29,4.67,16.1,1
66,5.787000000000001,10.24,16.1,3
67,5.877999999999999,8.1,18.9,3
68,5.593999999999999,13.09,18.9,2
69,5.885,8.79,18.9,3
70,6.417000000000001,6.72,19.2,3
71,5.961,9.88,19.2,3
72,6.065,5.52,19.2,1
73,6.245,7.54,19.2,3
74,6.273,6.78,18.7,3
75,6.2860000000000005,8.94,18.7,3
76,6.279,11.97,18.7,2
77,6.14,10.27,18.7,3
78,6.232,12.34,18.7,2
79,5.874,9.1,18.7,3
80,6.727,5.29,19.0,1
81,6.619,7.22,19.0,3
82,6.3020000000000005,6.72,19.0,3
83,6.167000000000001,7.51,19.0,3
84,6.388999999999999,9.62,18.5,3
85,6.63,6.53,18.5,3
86,6.015,12.86,18.5,2
87,6.121,8.44,18.5,3
88,7.007000000000001,5.5,17.8,1
89,7.079,5.7,17.8,1
90,6.417000000000001,8.81,17.8,3
91,6.405,8.2,17.8,3
92,6.442,8.16,18.2,3
93,6.211,6.21,18.2,3
94,6.249,10.59,18.2,3
95,6.625,6.65,18.0,3
96,6.162999999999999,11.34,18.0,3
97,8.068999999999999,4.21,18.0,1
98,7.82,3.57,18.0,1
99,7.416,6.19,18.0,1
100,6.727,9.42,20.9,3
101,6.781000000000001,7.67,20.9,3
102,6.405,10.63,20.9,3
103,6.1370000000000005,13.44,20.9,2
104,6.167000000000001,12.33,20.9,2
105,5.851,16.47,20.9,2
106,5.836,18.66,20.9,2
107,6.127000000000001,14.09,20.9,2
108,6.474,12.27,20.9,2
109,6.229,15.55,20.9,2
110,6.195,13.0,20.9,2
111,6.715,10.16,17.8,3
112,5.912999999999999,16.21,17.8,2
113,6.0920000000000005,17.09,17.8,2
114,6.254,10.45,17.8,3
115,5.928,15.76,17.8,2
116,6.176,12.04,17.8,2
117,6.021,10.3,17.8,3
118,5.872000000000001,15.37,17.8,2
119,5.731,13.61,17.8,2
120,5.87,14.37,19.1,2
121,6.004,14.27,19.1,2
122,5.961,17.93,19.1,2
123,5.856,25.41,19.1,2
124,5.879,17.58,19.1,2
125,5.986000000000001,14.81,19.1,2
