checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
1,6,1,7,1169,4,3,4,3,2,4,2,67,1,1,2,3,1,1,1,1
0,48,3,7,5951,2,0,2,0,2,2,2,22,1,1,1,3,1,0,1,0
3,12,1,4,2096,2,1,2,3,2,3,2,49,1,1,1,2,2,0,1,1
1,42,3,5,7882,2,1,2,3,1,4,0,45,1,0,1,3,2,0,1,1
1,24,2,1,4870,2,0,3,3,2,4,1,53,1,0,2,3,2,0,1,0
3,36,3,4,9055,4,0,2,3,2,4,1,35,1,0,1,2,2,1,1,1
3,24,3,5,2835,1,3,3,3,2,4,0,53,1,1,1,3,1,0,1,1
0,36,3,2,6948,2,0,2,3,2,2,3,35,1,2,1,0,1,1,1,1
3,12,3,7,3059,3,1,2,1,2,4,2,61,1,1,1,2,1,0,1,1
0,30,1,1,5234,2,4,4,2,2,2,3,28,1,1,2,0,1,0,1,0
0,12,3,1,1295,2,2,3,0,2,1,3,25,1,2,1,3,1,0,1,0
1,48,3,3,4308,2,2,3,0,2,4,0,24,1,2,1,3,1,0,1,0
0,12,3,7,1567,2,0,1,0,2,1,3,22,1,1,1,3,1,1,1,1
1,24,1,1,1199,2,3,4,3,2,4,3,60,1,1,2,2,1,0,1,0
1,15,3,1,1403,2,0,2,0,2,4,3,28,1,2,1,3,1,0,1,1
1,24,3,7,1282,0,0,4,0,2,2,3,32,1,1,1,2,1,0,1,0
3,24,1,7,2424,4,3,4,3,2,4,0,53,1,1,2,3,1,0,1,1
1,30,4,3,8072,4,2,2,3,2,3,3,25,0,1,3,3,1,0,1,1
0,24,3,2,12579,2,3,4,0,2,2,1,44,1,0,1,0,1,1,1,0
3,24,3,7,3430,1,3,3,3,2,2,3,31,1,1,1,3,2,1,1,1
3,9,1,1,2134,2,0,4,3,2,4,3,48,1,1,3,3,1,1,1,1
1,6,3,7,2647,1,0,2,3,2,3,2,44,1,2,1,3,2,0,1,1
1,10,1,1,2241,2,2,1,3,2,3,2,48,1,2,2,2,2,0,0,1
0,12,1,2,1804,0,2,3,3,2,4,0,44,1,1,1,3,1,0,1,1
3,10,1,5,2069,4,0,2,2,2,1,3,26,1,1,2,3,1,0,0,1
1,6,3,5,1374,2,0,1,3,2,2,2,36,0,1,1,2,1,1,1,1
3,6,4,7,426,2,3,4,2,2,4,3,39,1,1,1,2,1,0,1,1
2,12,0,7,409,3,0,3,0,2,3,2,42,1,2,2,3,1,0,1,1
0,7,3,7,2415,2,0,3,3,1,2,2,34,1,1,1,3,1,0,1,1
1,60,2,3,6836,2,3,3,3,2,4,1,63,1,1,2,3,1,1,1,0
0,18,3,3,1913,3,2,3,2,2,3,2,36,0,1,1,3,1,1,1,1
1,24,3,5,4020,2,0,2,3,2,2,3,27,2,1,1,3,1,0,1,1
